1674,1950
53
791,113
702,172
626,249
582,314
282,621
262,659
249,715
248,768
267,848
280,871
319,905
329,930
335,958
328,1006
303,1053
190,1108
175,1200
161,1257
161,1281
174,1342
192,1377
455,1639
473,1675
504,1798
520,1831
542,1854
575,1871
607,1880
668,1864
894,1640
944,1622
1250,1622
1308,1603
1374,1575
1566,1384
1583,1352
1598,1291
1596,1250
1538,1158
1475,1112
1418,1088
1342,1088
1248,1112
1056,1112
959,1080
943,1064
926,1031
926,244
912,186
896,152
877,135
848,120
818,113
40
791,271
350,720
342,752
342,783
359,832
399,872
416,905
422,932
422,987
415,1016
383,1079
295,1167
280,1198
270,1232
270,1295
303,1358
536,1592
552,1626
583,1744
608,1760
639,1760
657,1751
848,1559
925,1537
1215,1537
1278,1521
1342,1488
1472,1360
1488,1326
1479,1286
1446,1247
1414,1232
1352,1215
1005,1215
913,1176
872,1135
849,1059
849,334
840,303
815,271
36
-25,780
-120,700
-240,585
-342,472
-447,370
-517,282
-520,277
-525,157
-465,65
-467,-55
-532,-137
-537,-145
-605,-235
-592,-370
-500,-487
-405,-575
-310,-682
-315,-695
-272,-825
-167,-837
-60,-740
30,-647
140,-612
315,-612
465,-590
582,-502
667,-412
702,-285
547,-185
270,-187
102,-135
62,-12
57,172
55,347
62,572
45,737
